Build.Model,Manufacturer,Model,Comment
SM-G900V            ,Samsung,Galaxy S5,
SM-G900W8           ,Samsung,Galaxy S5,
SM-G901F            ,Samsung,Galaxy S5,
SM-G903F            ,Samsung,Galaxy Neo,
SM-G9200            ,Samsung,Galaxy S6,
SM-G920F            ,Samsung,Galaxy S6,
SM-G920I            ,Samsung,Galaxy S6,
SM-G920P            ,Samsung,Galaxy S6,
SM-G920R            ,Samsung,Galaxy S6,
SM-G920T            ,Samsung,Galaxy S6,
SM-G920V            ,Samsung,Galaxy S6,
SM-G920W8           ,Samsung,Galaxy S6,
SM-G9250            ,Samsung,Galaxy S6 Edge,
SM-G925A            ,Samsung,Galaxy S6 Edge,
SM-G925F            ,Samsung,Galaxy S6 Edge,
SM-G925I            ,Samsung,Galaxy S6 Edge,
SM-G925P            ,Samsung,Galaxy S6 Edge,
SM-G925R            ,Samsung,Galaxy S6 Edge,
SM-G925T            ,Samsung,Galaxy S6 Edge,
SM-G925V            ,Samsung,Galaxy S6 Edge,
SM-G925W8           ,Samsung,Galaxy S6 Edge,
SM-G928V            ,Samsung,Galaxy S6 Edge Plus,
SM-G928T            ,Samsung,Galaxy S6 Edge Plus,
SM-G930W8           ,Samsung,Galaxy S7,
SM-G9300            ,Samsung,Galaxy S7,
SM-G930F            ,Samsung,Galaxy S7,
SM-G930K            ,Samsung,Galaxy S7,
SM-G930L            ,Samsung,Galaxy S7,
SM-G930S            ,Samsung,Galaxy S7,
SM-G930FD           ,Samsung,Galaxy S7,
SM-J700T            ,Samsung,Galaxy J7,
SAMSUNG-SM-G930A    ,Samsung,Galaxy S7,
SM-G930AZ           ,Samsung,Galaxy S7,
SM-G930A            ,Samsung,Galaxy S7,
SM-G930T1           ,Samsung,Galaxy S7,
SM-G930R6           ,Samsung,Galaxy S7,
SM-G930R7           ,Samsung,Galaxy S7,
SM-G930P            ,Samsung,Galaxy S7,
SM-G930T            ,Samsung,Galaxy S7,
SM-G930R4           ,Samsung,Galaxy S7,
SM-G930V            ,Samsung,Galaxy S7,
SM-G930U            ,Samsung,Galaxy S7,
SM-G935W8           ,Samsung,Galaxy S7 Edge,
SM-G9350            ,Samsung,Galaxy S7 Edge,
SM-G935F            ,Samsung,Galaxy S7 Edge,
SM-G935K            ,Samsung,Galaxy S7 Edge,
SM-G935L            ,Samsung,Galaxy S7 Edge,
SM-G935S            ,Samsung,Galaxy S7 Edge,
SM-G935FD           ,Samsung,Galaxy S7 Edge,
SM-G935AZ           ,Samsung,Galaxy S7 Edge,
SM-G935A            ,Samsung,Galaxy S7 Edge,
SM-G935T1           ,Samsung,Galaxy S7 Edge,
SM-G935R6           ,Samsung,Galaxy S7 Edge,
SM-G935R7           ,Samsung,Galaxy S7 Edge,
SM-G935P            ,Samsung,Galaxy S7 Edge,
SM-G935T            ,Samsung,Galaxy S7 Edge,
SM-G935R4           ,Samsung,Galaxy S7 Edge,
SM-G935V            ,Samsung,Galaxy S7 Edge,
SM-G935U            ,Samsung,Galaxy S7 Edge,
SM-G9500            ,Samsung,Galaxy S8,
SM-G950F            ,Samsung,Galaxy S8,
SM-G950T            ,Samsung,Galaxy S8,
SM-G950S            ,Samsung,Galaxy S8,
SM-G950K            ,Samsung,Galaxy S8,
SM-G950L            ,Samsung,Galaxy S8,
SM-G950P            ,Samsung,Galaxy S8,
SM-G950A            ,Samsung,Galaxy S8,
SM-G9509            ,Samsung,Galaxy S8,
SM-G9508            ,Samsung,Galaxy S8,
SM-G950R4           ,Samsung,Galaxy S8,
SM-G950V            ,Samsung,Galaxy S8,
SM-G950FD           ,Samsung,Galaxy S8,
SM-G950W8           ,Samsung,Galaxy S8,
SM-G9550            ,Samsung,Galaxy S8 Plus,
SM-G955F            ,Samsung,Galaxy S8 Plus,
SM-G955T            ,Samsung,Galaxy S8 Plus,
SM-G955S            ,Samsung,Galaxy S8 Plus,
SM-G955K            ,Samsung,Galaxy S8 Plus,
SM-G955L            ,Samsung,Galaxy S8 Plus,
SM-G955P            ,Samsung,Galaxy S8 Plus,
SM-G955A            ,Samsung,Galaxy S8 Plus,
SM-G9559            ,Samsung,Galaxy S8 Plus,
SM-G9558            ,Samsung,Galaxy S8 Plus,
SM-G955R4           ,Samsung,Galaxy S8 Plus,
SM-G955V            ,Samsung,Galaxy S8 Plus,
SM-G955FD           ,Samsung,Galaxy S8 Plus,
SM-G955W8           ,Samsung,Galaxy S8 Plus,
SM-N7505            ,Samsung,Galaxy Note 3 Neo,
SM-N9005            ,Samsung,Galaxy Note 3,
SM-N9006            ,Samsung,Galaxy Note 3,
SM-N900P            ,Samsung,Galaxy Note 3,
SM-N900             ,Samsung,Galaxy Note 3,
SM-N900S            ,Samsung,Galaxy Note 3,
SM-N900T            ,Samsung,Galaxy Note 3,
SM-N900V            ,Samsung,Galaxy Note 3,
SM-N900W8           ,Samsung,Galaxy Note 3,
SM-N910C            ,Samsung,Galaxy Note 4,
SM-N910F            ,Samsung,Galaxy Note 4,
SM-N910G            ,Samsung,Galaxy Note 4,
SM-N910P            ,Samsung,Galaxy Note 4,
SM-N910T            ,Samsung,Galaxy Note 4,
SM-N910V            ,Samsung,Galaxy Note 4,
SM-N910W8           ,Samsung,Galaxy Note 4,
SM-N915T            ,Samsung,Galaxy Note Edge,
SM-N915V            ,Samsung,Galaxy Note Edge,
SM-N920A            ,Samsung,Galaxy Note 5,
SM-N920V            ,Samsung,Galaxy Note 5,
SM-N920P            ,Samsung,Galaxy Note 5,
SM-N920R4           ,Samsung,Galaxy Note 5,
SM-N920T            ,Samsung,Galaxy Note 5,
SM-N9208            ,Samsung,Galaxy Note 5,
SM-N9209            ,Samsung,Galaxy Note 5,
SM-N9200            ,Samsung,Galaxy Note 5,
SM-N920S            ,Samsung,Galaxy Note 5,
SM-N920L            ,Samsung,Galaxy Note 5,
SM-N920K            ,Samsung,Galaxy Note 5,
SM-N920W8           ,Samsung,Galaxy Note 5,
SM-N920I            ,Samsung,Galaxy Note 5,
SM-N920F            ,Samsung,Galaxy Note 5,
SM-N930V            ,Samsung,Galaxy Note 7,
SM-N9300            ,Samsung,Galaxy Note 7,
SM-N930F            ,Samsung,Galaxy Note 7,
SM-N930T            ,Samsung,Galaxy Note 7,
SM-N930S            ,Samsung,Galaxy Note 7,
SM-N930K            ,Samsung,Galaxy Note 7,
SM-N930L            ,Samsung,Galaxy Note 7,
SM-N930P            ,Samsung,Galaxy Note 7,
SM-N930A            ,Samsung,Galaxy Note 7,
SM-N9309            ,Samsung,Galaxy Note 7,
SM-N9308            ,Samsung,Galaxy Note 7,
SM-N930R4           ,Samsung,Galaxy Note 7,
SM-N930V            ,Samsung,Galaxy Note 7,
SM-N930FD           ,Samsung,Galaxy Note 7,
SM-N930W8           ,Samsung,Galaxy Note 7,
SM-P600             ,Samsung,Galaxy Note 10.1,
SM-T210R            ,Samsung,Galaxy Tab 3 7.0,
SM-T210             ,Samsung,Galaxy Tab 3,
SM-T217S            ,Samsung,Galaxy Tab 3 7.0,
SM-T230NU           ,Samsung,Galaxy Tab 4,
SM-T310             ,Samsung,Galaxy Tab 3 8.0,
SM-T320             ,Samsung,Galaxy Tab Pro 8.4,
SM-T330NU           ,Samsung,Galaxy Tab 4 8.0,
SM-T530NU           ,Samsung,Galaxy Tab 4 10.1,
SM-T700             ,Samsung,Galaxy Tab S,
SM-T800             ,Samsung,Galaxy Tab S 10.5,
SPH-D600            ,Samsung,Conquer 4G,
SPH-D700            ,Samsung,Epic 4G,
SPH-D710BST         ,Samsung,Galaxy S II,
SPH-D710            ,Samsung,Epic,
SPH-D710VMUB        ,Samsung,Galaxy S II,
SPH-L300            ,Samsung,Galaxy Victory,
SPH-L520            ,Samsung,Galaxy S4 Mini,
SPH-L710            ,Samsung,Galaxy S III,
SPH-L710T           ,Samsung,Galaxy S III,
SPH-L720            ,Samsung,Galaxy S4,
SPH-L720T           ,Samsung,Galaxy S4,
SPH-L900            ,Samsung,Galaxy Note II,
SPH-M820-BST        ,Samsung,Galaxy Prevail,
SPH-M830            ,Samsung,Galaxy Rush,
SPH-M840            ,Samsung,Galaxy Prevail 2,
SPH-M930BST         ,Samsung,Transform Ultra,
ST21i               ,Sony,Xperia Tipo,
ST25i               ,Sony,Xperia U,
ST26i               ,Sony,Xperia J,
Transformer_Prime_TF201,Asus,Eee Pad Transformer Prime,
Transformer_TF101   ,Asus,Eee Pad Transformer,
VK810_4G            ,G,Pad 8.3,
VM670               ,LG,Optimus V,
VS840_4G            ,LG,Lucid 4G,
VS870_4G            ,LG,Lucid 2,
VS910_4G            ,LG,Revolution 4G,
VS920_4G            ,LG,Spectrum 4G,
VS930_4G            ,LG,Spectrum 2,
VS980_4G            ,LG,G2,
VS985_4G            ,LG,G3 4G,
VS986               ,LG,G4,
VS987               ,LG,G5,
VS990               ,LG,V10,
Xoom                ,Motorola,Xoom,
XT1022              ,Motorola,Moto E,
XT1028              ,Motorola,Moto G,
XT1030              ,Motorola,Droid Mini,
XT1031              ,Motorola,Moto G,
XT1032              ,Motorola,Moto G,
XT1033              ,Motorola,Moto G,
XT1034              ,Motorola,Moto G,
XT1039              ,Motorola,Moto G,
XT1045              ,Motorola,Moto G,
XT1049              ,Motorola,Moto X,
XT1052              ,Moto,X,
XT1053              ,Motorola,Moto X,
XT1055              ,Motorola,Moto X,
XT1056              ,Motorola,Moto X,
XT1058              ,Motorola,Moto X,
XT1060              ,Motorola,Moto X,
XT1064              ,Moto,G,
XT1068              ,Motorola,Moto G,
XT1080              ,Motorola,Droid Ultra,
XT1095              ,Motorola,Moto X,
XT1096              ,Motorola,Moto X,
XT1097              ,Motorola,Moto X,
XT1254              ,Motorola,Droid Turbo,
XT1565              ,Motorola,Droid Maxx 2,
XT1575              ,Motorola,Moto X Pure Edition,
XT1585              ,Motorola,Droid Turbo 2,
XT897               ,Motorola,Photo Q,
XT907               ,Motorola,Droid Razr M,
Z970,ZTE,ZMax,
